,HMDB_ID,Metabolite,Gene,Database,Evidence
0,HMDB0000122,D-Glucose,Slc2a1 / Slc2a10 / Slc2a12 / Slc2a2 / Slc2a3 / Slc2a4 / Slc2a6 / Slc2a7 / Slc2a8 / Slc2a9 / Slc45a1 / Slc5a10 / Slc5a11 / Slc5a9,MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE,PMID: 31993307 / PMID: 34511324 / RESOLUTE / Recon2
1,HMDB0000143,D-Galactose,Slc2a1 / Slc2a10 / Slc2a2 / Slc2a3 / Slc2a8,MEBOCOST / PMID: 31993307,PMID: 31993307 / Recon2
2,HMDB0000169,D-Mannose,Slc2a1 / Slc2a2 / Slc2a3 / Slc5a10 / Slc5a9,MEBOCOST / PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE / Recon2
3,HMDB0001514,Glucosamine,Slc2a1 / Slc2a2 / Slc2a4,MEBOCOST / PMID: 31993307,PMID: 31993307 / Recon2
4,HMDB0002183,Docosahexaenoic acid,Slc27a6 / Slc2a1 / Slc2a4,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
5,HMDB0000641,L-Glutamine,Slc16a10 / Slc1a5 / Slc36a2 / Slc38a1 / Slc38a2 / Slc38a3 / Slc38a5 / Slc38a6 / Slc38a7 / Slc38a8 / Slc38a9 / Slc3a2 / Slc43a1 / Slc6a14 / Slc6a15 / Slc6a19 / Slc7a5 / Slc7a6 / Slc7a7 / Slc7a8,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE,26724577 / 31535081; 30452920; 33953707; 34525179; 27154413; 25683269; 31881361; 28798141; 28507054; 25337245; 23213057; 32438035; 30025811; 33632871; 30935948; 33505538; 32422185; 30470977; 30671766; 25759021; 32747796; 31150647; 34054543; 31668020; 29208682; 32996252; 29542325; 30541099; 30071532; 34075790; 31866442; 26724577; 27055152; 33457003; 29337138; 32021249 / 32996252; 25759021; 26724577 / 33953707; 30671766 / 33953707; 30671766; 26724577; 33505538 / HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE / Recon2
6,HMDB0000161,L-Alanine,Slc16a10 / Slc1a5 / Slc36a1 / Slc36a2 / Slc38a1 / Slc38a2 / Slc38a3 / Slc38a6 / Slc6a15 / Slc6a16 / Slc7a8,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE
7,HMDB0000168,L-Asparagine,Slc1a5 / Slc38a1 / Slc38a2 / Slc38a3 / Slc43a1,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324,33420487 / HMDB / PMID: 31993307 / PMID: 34511324 / Recon2
8,HMDB0000574,L-Cysteine,Slc16a10 / Slc1a5 / Slc38a1 / Slc38a2 / Slc43a2 / Slc7a11 / Slc7a8,HMDB / MEBOCOST / PMID: 31993307,33000412 / HMDB / PMID: 31993307 / Recon2
9,HMDB0000177,L-Histidine,Slc15a3 / Slc15a4 / Slc16a10 / Slc38a1 / Slc38a2 / Slc38a3 / Slc38a4 / Slc7a5,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,32377929 / HMDB / PMID: 31993307 / RESOLUTE / Recon2
10,HMDB0000187,L-Serine,Slc16a10 / Slc1a4 / Slc1a5 / Slc36a2 / Slc38a1 / Slc38a2 / Slc38a6 / Slc3a2 / Slc43a1 / Slc6a15 / Slc6a16 / Slc7a10,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,33269112 / HMDB / PMID: 31993307 / RESOLUTE / Recon2
11,HMDB0000123,Glycine,Slc16a10 / Slc36a1 / Slc38a2,HMDB / MEBOCOST / PMID: 31993307,HMDB / PMID: 31993307
12,HMDB0000696,L-Methionine,Slc16a10 / Slc38a2 / Slc43a1 / Slc43a2 / Slc7a5,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324,32377929 / HMDB / PMID: 31993307 / PMID: 34511324 / Recon2
13,HMDB0000162,L-Proline,Slc16a10 / Slc36a2 / Slc38a2 / Slc6a15 / Slc6a16 / Slc6a20b,HMDB / PMID: 31993307 / RESOLUTE,HMDB / PMID: 31993307 / RESOLUTE
14,HMDB0000167,L-Threonine,Slc16a10 / Slc1a5 / Slc43a1 / Slc6a15 / Slc6a16,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,HMDB / PMID: 31993307 / RESOLUTE / Recon2
15,HMDB0000190,L-Lactate,Slc16a1 / Slc16a2 / Slc16a3 / Slc16a4 / Slc16a5 / Slc16a7 / Slc16a8 / Slc5a12,MEBOCOST / PMID: 28666119 / PMID: 31993307 / PMID: 34511324 / RESOLUTE,32144120; 22428047 / PMID: 28666119 / PMID: 31993307 / PMID: 34511324 / RESOLUTE
16,HMDB0000243,Pyruvate,Slc16a1 / Slc16a10 / Slc16a11 / Slc16a2 / Slc16a3 / Slc16a5 / Slc16a7 / Slc5a12 / Slco2a1,HMDB / MEBOCOST / PMID: 28666119 / PMID: 31993307 / RESOLUTE,31882442 / HMDB / PMID: 28666119 / PMID: 31993307 / RESOLUTE / https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A11
17,Unknown,Ketone bodies,Slc16a1 / Slc16a3 / Slc16a7,PMID: 28666119 / PMID: 31993307,PMID: 28666119 / PMID: 31993307
18,HMDB0001488,Nicotinate,Slc16a1 / Slc22a5 / Slc5a12 / Slco2b1,HMDB / PMID: 31993307,HMDB / PMID: 31993307
19,Unknown,Propionate,Slc5a12,PMID: 31993307,PMID: 31993307
20,HMDB0000039,Butyrate,Slc16a1 / Slc5a12,HMDB / PMID: 31993307,HMDB / PMID: 31993307
21,Unknown,beta-Dhydroxybutyrate,Slc5a12,PMID: 31993307,PMID: 31993307
22,HMDB0000148,L-Glutamate,Slc16a1 / Slc16a10 / Slc17a2 / Slc1a1 / Slc1a2 / Slc1a3 / Slc1a5 / Slc1a6 / Slc1a7 / Slc3a2 / Slc7a11,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB,29208682 / HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB
23,HMDB0000191,L-Aspartate,Slc16a10 / Slc1a2 / Slc1a3 / Slc1a6,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,31269432 / HMDB / PMID: 31993307 / RESOLUTE
